"hpo_id","hpo_name"
"HP:0000588","Optic disc coloboma"
"HP:0011228","Horizontal eyebrow"
"HP:0000582","Upslanted palpebral fissure"
"HP:0000506","Telecanthus"
"HP:0001845","Overlapping toe"
"HP:0005487","Prominent metopic ridge"
"HP:0000431","Wide nasal bridge"
"HP:0000414","Bulbous nose"
"HP:0000445","Wide nose"
"HP:0000448","Prominent nose"
"HP:0000437","Depressed nasal tip"
"HP:0000465","Webbed neck"
"HP:0000470","Short neck"
"HP:0000455","Broad nasal tip"
"HP:0000463","Anteverted nares"
"HP:0000490","Deeply set eye"
"HP:0000494","Downslanted palpebral fissures"
"HP:0000482","Microcornea"
"HP:0000303","Mandibular prognathia"
"HP:0000307","Pointed chin"
"HP:0000316","Hypertelorism"
"HP:0001650","Aortic valve stenosis"
"HP:0000348","High forehead"
"HP:0000343","Long philtrum"
"HP:0000369","Low-set ears"
"HP:0000358","Posteriorly rotated ears"
"HP:0001518","Small for gestational age"
"HP:0001537","Umbilical hernia"
"HP:0001561","Polyhydramnios"
"HP:0000219","Thin upper lip vermilion"
"HP:0000243","Trigonocephaly"
"HP:0000293","Full cheeks"
"HP:4000170","Anti-platelet antigen antibody positivity"
"HP:0012813","Unilateral breast hypoplasia"
"HP:0000891","Cervical ribs"
"HP:0003189","Long nose"
"HP:0100308","Cerebral cortical hemiatrophy"
"HP:0003196","Short nose"
"HP:0012905","Euryblepharon"
"HP:0031959","Leg dystonia"
"HP:0000664","Synophrys"
"HP:0011342","Mild global developmental delay"
"HP:0000612","Iris coloboma"
"HP:0000637","Long palpebral fissure"
"HP:0002326","Transient ischemic attack"
"HP:0007024","Pseudobulbar paralysis"
"HP:0010553","Oculogyric crisis"
"HP:0002162","Low posterior hairline"
"HP:0100578","Lipoatrophy"
"HP:0007325","Generalized dystonia"
"HP:0003724","Shoulder girdle muscle atrophy"
"HP:0001256","Intellectual disability, mild"
"HP:0002558","Supernumerary nipple"
"HP:0002571","Achalasia"
"HP:0002553","Highly arched eyebrow"
"HP:0000064","Hypoplastic labia minora"
"HP:0000054","Micropenis"
"HP:0008796","Femoral retroversion"
"HP:0032438","Platelet anisocytosis"
"HP:0000154","Wide mouth"
"HP:0000126","Hydronephrosis"
"HP:0002000","Short columella"
"HP:0011800","Midface retrusion"
"HP:0011220","Prominent forehead"
"HP:0012469","Infantile spasms"
"HP:0000337","Broad forehead"
"HP:0000717","Autism"
"HP:0006986","Upper limb spasticity"
"HP:0000668","Hypodontia"
"HP:0011344","Severe global developmental delay"
"HP:0010864","Intellectual disability, severe"
"HP:0002421","Poor head control"
"HP:0002521","Hypsarrhythmia"
"HP:0001344","Absent speech"
"HP:0008936","Axial hypotonia"
"HP:0002020","Gastroesophageal reflux"
"HP:0002136","Broad-based gait"
"HP:0002188","Delayed CNS myelination"
"HP:0100710","Impulsivity"
"HP:0002283","Global brain atrophy"
"HP:0007018","Attention deficit hyperactivity disorder"
"HP:0010844","EEG with multifocal slow activity"
"HP:0001852","Sandal gap"
"HP:0000411","Protruding ear"
"HP:0012420","Meconium stained amniotic fluid"
"HP:0012450","Chronic constipation"
"HP:0005280","Depressed nasal bridge"
"HP:0006610","Wide intermamillary distance"
"HP:0001653","Mitral regurgitation"
"HP:0000331","Short chin"
"HP:0000319","Smooth philtrum"
"HP:0005216","Impaired mastication"
"HP:0000378","Cupped ear"
"HP:0002835","Aspiration"
"HP:0000232","Everted lower lip vermilion"
"HP:0006385","Short lower limbs"
"HP:0000276","Long face"
"HP:0000283","Broad face"
"HP:0008093","Short 4th toe"
"HP:0045025","Narrow palpebral fissure"
"HP:0000963","Thin skin"
"HP:0010296","Ankyloglossia"
"HP:0000817","Reduced eye contact"
"HP:0011471","Gastrostomy tube feeding in infancy"
"HP:0000737","Irritability"
"HP:0012745","Short palpebral fissure"
"HP:0006956","Lateral ventricle dilatation"
"HP:0000670","Carious teeth"
"HP:0011327","Posterior plagiocephaly"
"HP:0011343","Moderate global developmental delay"
"HP:0012683","Pineal cyst"
"HP:0000646","Amblyopia"
"HP:0200055","Small hand"
"HP:0010677","Enuresis nocturna"
"HP:0200136","Oral-pharyngeal dysphagia"
"HP:0100704","Cerebral visual impairment"
"HP:0001182","Tapered finger"
"HP:0001118","Juvenile cataract"
"HP:0002591","Polyphagia"
"HP:0002572","Episodic vomiting"
"HP:0001212","Prominent fingertip pads"
"HP:0000023","Inguinal hernia"
"HP:0000179","Thick lower lip vermilion"
"HP:0007651","Ectropion of lower eyelids"
"HP:0008947","Infantile muscular hypotonia"
"HP:0008935","Generalized neonatal hypotonia"
"HP:0002705","High, narrow palate"
"HP:0000105","Enlarged kidney"
"HP:0004691","2-3 toe syndactyly"
"HP:0002028","Chronic diarrhea"
"HP:0012523","Oral aversion"
"HP:0000574","Thick eyebrow"
"HP:0011231","Prominent eyelashes"
"HP:0000322","Short philtrum"
"HP:0002895","Papillary thyroid carcinoma"
"HP:0002884","Hepatoblastoma"
"HP:0000289","Broad philtrum"
"HP:0000294","Low anterior hairline"
"HP:0012810","Wide nasal base"
"HP:0009928","Thick nasal alae"
"HP:0009879","Simplified gyral pattern"
"HP:0000085","Horseshoe kidney"
"HP:0001305","Dandy-Walker malformation"
"HP:0002033","Poor suck"
"HP:0011937","Hypoplastic fifth toenail"
"HP:0200105","Absent fifth toenail"
"HP:0200104","Absent fifth fingernail"
"HP:0008398","Hypoplastic fifth fingernail"
"HP:0002342","Intellectual disability, moderate"
"HP:0001838","Rocker bottom foot"
"HP:0001620","Abnormally high-pitched voice"
"HP:0000384","Preauricular skin tag"
"HP:0000272","Malar flattening"
"HP:0000960","Sacral dimple"
"HP:0000965","Cutis marmorata"
"HP:0100391","Short distal phalanx of the 5th toe"
"HP:0000879","Short sternum"
"HP:0031936","Delayed ability to walk"
"HP:0011359","Dry hair"
"HP:0000601","Hypotelorism"
"HP:0004227","Short distal phalanx of the 5th finger"
"HP:0006863","Severe expressive language delay"
"HP:0009747","Lumbosacral hirsutism"
"HP:0002592","Gastric ulcer"
"HP:0002588","Duodenal ulcer"
"HP:0008665","Clitoral hypertrophy"
"HP:0001338","Partial agenesis of the corpus callosum"
"HP:0000151","Aplasia of the uterus"
"HP:0002007","Frontal bossing"
"HP:0006970","Periventricular leukomalacia"
"HP:0009110","Diaphragmatic eventration"
"HP:0002645","Wormian bones"
"HP:0002003","Large forehead"
"HP:0002002","Deep philtrum"
"HP:0000426","Prominent nasal bridge"
"HP:0000444","Convex nasal ridge"
"HP:0001262","Excessive daytime somnolence"
"HP:0008770","Obsessive-compulsive trait"
"HP:0008689","Bilateral cryptorchidism"
"HP:0002714","Downturned corners of mouth"
"HP:0004602","Cervical C2/C3 vertebral fusion"
"HP:0003691","Scapular winging"
"HP:0025502","Overweight"
"HP:0002938","Lumbar hyperlordosis"
"HP:0001897","Normocytic anemia"
"HP:0001895","Normochromic anemia"
"HP:0006775","Multiple myeloma"
"HP:0012453","Bilateral wrist flexion contracture"
"HP:0001734","Annular pancreas"
"HP:0001640","Cardiomegaly"
"HP:0012325","Chronic myelomonocytic leukemia"
"HP:0000341","Narrow forehead"
"HP:0011003","High myopia"
"HP:0002870","Obstructive sleep apnea"
"HP:0001525","Severe failure to thrive"
"HP:0006471","Fixed elbow flexion"
"HP:0031408","Increased proportion of CD25+ mast cells"
"HP:0000297","Facial hypotonia"
"HP:0040186","Maculopapular exanthema"
"HP:0010291","Prominent palatine ridges"
"HP:0100337","Bilateral cleft palate"
"HP:0100334","Unilateral cleft palate"
"HP:0011401","Delayed peripheral myelination"
"HP:0003049","Ulnar deviation of the wrist"
"HP:0031901","Elevated total serum tryptase"
"HP:0001971","Hypersplenism"
"HP:0006895","Lower limb hypertonia"
"HP:0005550","Chronic lymphatic leukemia"
"HP:0031807","Increased basophil count"
"HP:0010733","Naevus flammeus of the eyelid"
"HP:0032155","Abdominal cramps"
"HP:0002365","Hypoplasia of the brainstem"
"HP:0004808","Acute myeloid leukemia"
"HP:0002187","Intellectual disability, profound"
"HP:0002039","Anorexia"
"HP:0002018","Nausea"
"HP:0001169","Broad palm"
"HP:0100874","Thick hair"
"HP:0006070","Metacarpophalangeal joint contracture"
"HP:0031020","Bone marrow hypercellularity"
"HP:0000016","Urinary retention"
"HP:0006191","Deep palmar crease"
"HP:0002667","Nephroblastoma"
"HP:0002653","Bone pain"
"HP:0000160","Narrow mouth"
"HP:0012138","Granulocytic hyperplasia"
"HP:0005026","Mesomelic/rhizomelic limb shortening"
"HP:0006276","Hyperechogenic pancreas"
"HP:0002756","Pathologic fracture"
"HP:0001433","Hepatosplenomegaly"
"HP:0012520","Dilation of Virchow-Robin spaces"
"HP:0034295","Reduced cerebral white matter volume"
"HP:0002057","Prominent glabella"
"HP:0000122","Unilateral renal agenesis"
"HP:0007413","Nevus flammeus of the forehead"
"HP:0010952","Mild fetal ventriculomegaly"
"HP:0100023","Recurrent hand flapping"
"HP:0000430","Underdeveloped nasal alae"
"HP:0000340","Sloping forehead"
"HP:0001601","Laryngomalacia"
"HP:0001519","Disproportionate tall stature"
"HP:0000212","Gingival overgrowth"
"HP:0045074","Thin eyebrow"
"HP:0009276","Contracture of the proximal interphalangeal joint of the 4th finger"
"HP:0030799","Scaphocephaly"
"HP:0001188","Hand clenching"
"HP:0001166","Arachnodactyly"
"HP:0040288","Nasogastric tube feeding"
"HP:0007068","Inferior cerebellar vermis hypoplasia"
"HP:0009765","Low hanging columella"
"HP:0000629","Periorbital fullness"
"HP:0000678","Dental crowding"
"HP:0011330","Metopic synostosis"
"HP:0002080","Intention tremor"
"HP:0000524","Conjunctival telangiectasia"
"HP:0006725","Pancreatic adenocarcinoma"
"HP:0005407","Decreased proportion of CD4-positive helper T cells"
"HP:0005357","Defective B cell differentiation"
"HP:0000778","Hypoplasia of the thymus"
"HP:0000716","Depression"
"HP:0010526","Dysgraphia"
"HP:0002110","Bronchiectasis"
"HP:0100576","Amaurosis fugax"
"HP:0002073","Progressive cerebellar ataxia"
"HP:0002075","Dysdiadochokinesis"
"HP:0002516","Increased intracranial pressure"
"HP:0007565","Multiple cafe-au-lait spots"
"HP:0012189","Hodgkin lymphoma"
"HP:0012174","Glioblastoma multiforme"
"HP:0012126","Stomach cancer"
"HP:0000134","Female hypogonadism"
"HP:0001402","Hepatocellular carcinoma"
"HP:0010557","Overlapping fingers"
"HP:0000403","Recurrent otitis media"
"HP:0001655","Patent foramen ovale"
"HP:0001562","Oligohydramnios"
"HP:0001545","Anteriorly placed anus"
"HP:0003186","Inverted nipples"
"HP:0000643","Blepharospasm"
"HP:0010654","Aplasia of the falx cerebri"
"HP:0007047","Atrophy of the dentate nucleus"
"HP:0011833","Overhanging nasal tip"
"HP:0010880","Increased nuchal translucency"
"HP:0012048","Oromandibular dystonia"
"HP:0002070","Limb ataxia"
"HP:0002172","Postural instability"
"HP:0005338","Sparse lateral eyebrow"
"HP:0002987","Elbow flexion contracture"
"HP:0000387","Absent earlobe"
"HP:0012203","Onychomycosis"
"HP:0000237","Small anterior fontanelle"
"HP:0006434","Hypoplasia of proximal radius"
"HP:0006442","Hypoplasia of proximal fibula"
"HP:0000275","Narrow face"
"HP:0025127","Actinic keratosis"
"HP:0012182","Oropharyngeal squamous cell carcinoma"
"HP:0007048","Large basal ganglia"
"HP:0011367","Yellow nails"
"HP:0004326","Cachexia"
"HP:0000878","11 pairs of ribs"
"HP:0001891","Iron deficiency anemia"
"HP:0030446","Atypical pulmonary carcinoid tumor"
"HP:0000451","Triangular nasal tip"
"HP:0031589","Suicidal ideation"
"HP:0000457","Depressed nasal ridge"
"HP:0001708","Right ventricular failure"
"HP:0005326","Hypoplastic philtrum"
"HP:0001658","Myocardial infarction"
"HP:0030145","Lack of bowel sounds"
"HP:0030149","Cardiogenic shock"
"HP:0005180","Tricuspid regurgitation"
"HP:0001612","Weak cry"
"HP:0030200","Fatiguable weakness of proximal limb muscles"
"HP:0012368","Flat face"
"HP:0007807","Optic nerve compression"
"HP:0001566","Widely-spaced maxillary central incisors"
"HP:0011682","Perimembranous ventricular septal defect"
"HP:0000978","Bruising susceptibility"
"HP:0010284","Intra-oral hyperpigmentation"
"HP:0000869","Secondary amenorrhea"
"HP:0000876","Oligomenorrhea"
"HP:0003144","Increased serum serotonin"
"HP:0003154","Increased circulating ACTH level"
"HP:0000725","Psychotic episodes"
"HP:0000709","Psychosis"
"HP:0000712","Emotional lability"
"HP:0012701","Bowel urgency"
"HP:0000749","Paroxysmal bursts of laughter"
"HP:0012736","Profound global developmental delay"
"HP:0012743","Abdominal obesity"
"HP:0004396","Poor appetite"
"HP:0004385","Protracted diarrhea"
"HP:0001962","Palpitations"
"HP:0006887","Intellectual disability, progressive"
"HP:0031891","Decreased eosinophil count"
"HP:4000007","Bronchoconstriction"
"HP:0002307","Drooling"
"HP:0010806","U-Shaped upper lip vermilion"
"HP:0010808","Protruding tongue"
"HP:0010804","Tented upper lip vermilion"
"HP:0001065","Striae distensae"
"HP:0025017","Capillary fragility"
"HP:0001050","Plethora"
"HP:0001058","Poor wound healing"
"HP:0004840","Hypochromic microcytic anemia"
"HP:0011999","Paranoia"
"HP:0002248","Hematemesis"
"HP:0002249","Melena"
"HP:0002254","Intermittent diarrhea"
"HP:0008291","Pituitary corticotropic cell adenoma"
"HP:0011903","HbH hemoglobin"
"HP:0011907","Reduced alpha/beta synthesis ratio"
"HP:0003466","Paradoxical increased cortisol secretion on dexamethasone suppression test"
"HP:0002044","Zollinger-Ellison syndrome"
"HP:0002730","Chronic noninfectious lymphadenopathy"
"HP:0500011","Moon facies"
"HP:0033505","Livedo reticularis"
"HP:0025269","Panic attack"
"HP:0002580","Volvulus"
"HP:0002574","Episodic abdominal pain"
"HP:0008734","Decreased testicular size"
"HP:0025383","Dorsocervical fat pad"
"HP:0000046","Small scrotum"
"HP:0012030","Increased urinary cortisol level"
"HP:0000049","Shawl scrotum"
"HP:0002690","Large sella turcica"
"HP:0002688","Absent frontal sinuses"
"HP:0000188","Short upper lip"
"HP:0030344","Decreased circulating luteinizing hormone level"
"HP:0030341","Decreased circulating follicle stimulating hormone concentration"
"HP:0012505","Enlarged pituitary gland"
"HP:0012508","Metamorphopsia"
"HP:0011133","Increased sensitivity to ionizing radiation"
"HP:0007906","Ocular hypertension"
"HP:0007902","Vitreous hemorrhage"
"HP:0007924","Slow decrease in visual acuity"
"HP:0002920","Decreased circulating ACTH concentration"
"HP:0006520","Progressive pulmonary function impairment"
"HP:0030078","Lung adenocarcinoma"
"HP:0012246","Oculomotor nerve palsy"
"HP:0007715","Weak extraocular muscles"
"HP:0040171","Decreased serum testosterone concentration"
"HP:0000958","Dry skin"
"HP:0000870","Increased circulating prolactin concentration"
"HP:0011524","Iris melanoma"
"HP:0030786","Photopsia"
"HP:0030766","Ear pain"
"HP:0100009","Intracranial meningioma"
"HP:0100010","Spinal meningioma"
"HP:0000802","Impotence"
"HP:0030490","Exudative vitreoretinopathy"
"HP:0012691","Focal T2 hypointense thalamic lesion"
"HP:0030521","Bitemporal hemianopia"
"HP:0008494","Inferior lens subluxation"
"HP:0001085","Papilledema"
"HP:0010828","Hemifacial spasm"
"HP:0100661","Trigeminal neuralgia"
"HP:0007011","Fourth cranial nerve palsy"
"HP:0008202","Reduced circulating prolactin concentration"
"HP:0008214","Decreased serum estradiol"
"HP:0010534","Transient global amnesia"
"HP:0008237","Hypothalamic hypothyroidism"
"HP:0008245","Pituitary hypothyroidism"
"HP:0008240","Secondary growth hormone deficiency"
"HP:0009623","Proximal placement of thumb"
"HP:0031041","Obstruction of the superior vena cava"
"HP:0010997","Chromosomal breakage induced by ionizing radiation"
"HP:0002512","Brain stem compression"
"HP:0012055","Ciliary body melanoma"
"HP:0012054","Choroidal melanoma"
"HP:0000044","Hypogonadotropic hypogonadism"
"HP:0008163","Decreased circulating cortisol level"
"HP:0001822","Hallux valgus"
"HP:0000485","Megalocornea"
"HP:0001645","Sudden cardiac death"
"HP:0000389","Chronic otitis media"
"HP:0001531","Failure to thrive in infancy"
"HP:0007720","Flat cornea"
"HP:0000938","Osteopenia"
"HP:0004428","Elfin facies"
"HP:0100025","Overfriendliness"
"HP:0004381","Supravalvular aortic stenosis"
"HP:0003072","Hypercalcemia"
"HP:0000627","Posterior embryotoxon"
"HP:0000635","Blue irides"
"HP:0005562","Multiple renal cysts"
"HP:0004969","Peripheral pulmonary artery stenosis"
"HP:0010780","Hyperacusis"
"HP:0200021","Down-sloping shoulders"
"HP:0002253","Colonic diverticula"
"HP:0002183","Phonophobia"
"HP:0002150","Hypercalciuria"
"HP:0002141","Gait imbalance"
"HP:0001181","Adducted thumb"
"HP:0001136","Retinal arteriolar tortuosity"
"HP:0100817","Renovascular hypertension"
"HP:0002575","Tracheoesophageal fistula"
"HP:0001361","Nystagmus-induced head nodding"
"HP:0002623","Overriding aorta"
"HP:0000125","Pelvic kidney"
"HP:0001882","Leukopenia"
"HP:0000519","Developmental cataract"
"HP:0001765","Hammertoe"
"HP:0000456","Bifid nasal tip"
"HP:0002967","Cubitus valgus"
"HP:0030140","Oral cavity bleeding"
"HP:0011090","Fused teeth"
"HP:0000225","Gingival bleeding"
"HP:0002875","Exertional dyspnea"
"HP:0007733","Laterally curved eyebrow"
"HP:0000967","Petechiae"
"HP:0040080","Anteverted ears"
"HP:0100349","Contracture of the proximal interphalangeal joint of the 3rd toe"
"HP:0100348","Contracture of the proximal interphalangeal joint of the 2nd toe"
"HP:0005709","2-3 toe cutaneous syndactyly"
"HP:0000774","Narrow chest"
"HP:0000667","Phthisis bulbi"
"HP:0009755","Ankyloblepharon"
"HP:0100608","Metrorrhagia"
"HP:0020006","Ciliary body coloboma"
"HP:0100758","Gangrene"
"HP:0011900","Hypofibrinogenemia"
"HP:0030955","Addictive alcohol use"
"HP:0002089","Pulmonary hypoplasia"
"HP:0033189","Radiculomegaly"
"HP:0100818","Long thorax"
"HP:0001264","Spastic diplegia"
"HP:0000193","Bifid uvula"
"HP:0000176","Submucous cleft hard palate"
"HP:0006335","Persistence of primary teeth"
"HP:0006315","Solitary median maxillary central incisor"
"HP:0025420","Diffuse alveolar hemorrhage"
"HP:0031245","Productive cough"
"HP:0002023","Anal atresia"
"HP:0002021","Pyloric stenosis"
"HP:0000475","Broad neck"
"HP:0000325","Triangular face"
"HP:0000362","Otosclerosis"
"HP:0008607","Progressive conductive hearing impairment"
"HP:0033142","Long nasal bridge"
"HP:0100726","Kaposi's sarcoma"
"HP:0200053","Hemihypotrophy of lower limb"
"HP:0010794","Impaired visuospatial constructive cognition"
"HP:0011648","Patent ductus arteriosus after birth at term"
"HP:0030406","Primary peritoneal carcinoma"
"HP:0012432","Chronic fatigue"
"HP:0001738","Exocrine pancreatic insufficiency"
"HP:0012334","Extrahepatic cholestasis"
"HP:0007874","Almond-shaped palpebral fissure"
"HP:0005249","Functional intestinal obstruction"
"HP:0000215","Thick upper lip vermilion"
"HP:0000813","Bicornuate uterus"
"HP:0004389","Intestinal pseudo-obstruction"
"HP:0003003","Colon cancer"
"HP:0005522","Pyridoxine-responsive sideroblastic anemia"
"HP:0011985","Acholic stools"
"HP:0100760","Clubbing of toes"
"HP:0002245","Meckel diverticulum"
"HP:0100867","Duodenal stenosis"
"HP:0025318","Ovarian carcinoma"
"HP:0012125","Prostate cancer"
"HP:0010469","Absent testis"
"HP:0002230","Generalized hirsutism"
"HP:0001773","Short foot"
"HP:0012254","Ewing sarcoma"
"HP:0010300","Abnormally low-pitched voice"
"HP:0000913","Posterior rib fusion"
"HP:0000786","Primary amenorrhea"
"HP:0000675","Macrodontia of permanent maxillary central incisor"
"HP:0010034","Short 1st metacarpal"
"HP:0004279","Short palm"
"HP:0004935","Pulmonary artery atresia"
"HP:0100757","Pancreatoblastoma"
"HP:0002557","Hypoplastic nipples"
"HP:0000059","Hypoplastic labia majora"
"HP:0008850","Severe postnatal growth retardation"
"HP:0000003","Multicystic kidney dysplasia"
"HP:0012167","Hair-pulling"
"HP:0012142","Pancreatic squamous cell carcinoma"
"HP:0007665","Curly eyelashes"
"HP:0007598","Bilateral single transverse palmar creases"
"HP:0002236","Frontal upsweep of hair"
"HP:0000311","Round face"
"HP:0010862","Delayed fine motor development"
"HP:0011108","Recurrent sinusitis"
"HP:0001696","Situs inversus totalis"
"HP:0033036","Decreased nasal nitric oxide"
"HP:0003251","Male infertility"
"HP:0034011","Reduced progressive sperm motility"
"HP:0033393","Irregularly shaped sperm tail"
"HP:0032559","Short sperm flagella"
"HP:0032558","Absent sperm flagella"
"HP:0000385","Small earlobe"
"HP:0011267","Microtia, third degree"
"HP:0006660","Aplastic clavicle"
"HP:0009939","Mandibular aplasia"
"HP:0009892","Anotia"
"HP:0000060","Clitoral hypoplasia"
"HP:0000039","Epispadias"
"HP:0003561","Birth length less than 3rd percentile"
"HP:0100783","Breast aplasia"
"HP:0003510","Severe short stature"
"HP:0003090","Hypoplasia of the capital femoral epiphysis"
"HP:0006443","Patellar aplasia"
"HP:0002878","Respiratory failure"
"HP:0032988","Persistent head lag"
"HP:0000350","Small forehead"
"HP:0002804","Arthrogryposis multiplex congenita"
"HP:0031882","Agyria"
"HP:0010851","EEG with burst suppression"
"HP:0032989","Delayed ability to roll over"
"HP:0025336","Delayed ability to sit"
"HP:0012171","Stereotypical hand wringing"
"HP:0033128","Delayed ability to crawl"
"HP:0200134","Epileptic encephalopathy"
"HP:0011098","Speech apraxia"
"HP:0010648","Dermal translucency"
"HP:0000741","Apathy"
"HP:0011170","Generalized myoclonic-atonic seizure"
"HP:0011171","Simple febrile seizure"
"HP:0007270","Atypical absence seizure"
"HP:0002527","Falls"
"HP:0012001","EEG with generalized polyspikes"
"HP:0012000","EEG with generalized spikes"
"HP:0001326","EEG with irregular generalized spike and wave complexes"
"HP:0002292","Frontal balding"
"HP:0002392","EEG with polyspike wave complexes"
"HP:0002332","Lack of peer relationships"
"HP:0010818","Generalized tonic seizure"
"HP:0012766","Widened cerebral subarachnoid space"
"HP:0000679","Taurodontia"
"HP:0025268","Stuttering"
"HP:0003180","Flat acetabular roof"
"HP:0002677","Small foramen magnum"
"HP:0100864","Short femoral neck"
"HP:0005274","Prominent nasal tip"
"HP:0012166","Skin-picking"
"HP:0001761","Pes cavus"
"HP:0000410","Mixed hearing impairment"
"HP:0001776","Bilateral talipes equinovarus"
"HP:0004058","Hand monodactyly"
"HP:0000321","Square face"
"HP:0001684","Secundum atrial septal defect"
"HP:0000394","Lop ear"
"HP:0001539","Omphalocele"
"HP:0030019","Increased female libido"
"HP:0030016","Dyspareunia"
"HP:0000860","Parathyroid hypoplasia"
"HP:0003164","Hypothalamic gonadotropin-releasing hormone deficiency"
"HP:0004430","Severe combined immunodeficiency"
"HP:0030732","Dysplastic tricuspid valve"
"HP:0011480","Unilateral microphthalmos"
"HP:0000771","Gynecomastia"
"HP:0011381","Aplasia of the semicircular canal"
"HP:0011382","Hypoplasia of the semicircular canal"
"HP:0010751","Dimple chin"
"HP:0008527","Congenital sensorineural hearing impairment"
"HP:0002231","Sparse body hair"
"HP:0002247","Duodenal atresia"
"HP:0008213","Gonadotropin deficiency"
"HP:0009556","Absent tibia"
"HP:0002139","Arrhinencephaly"
"HP:0008187","Absence of secondary sex characteristics"
"HP:0010443","Bifid femur"
"HP:0002025","Anal stenosis"
"HP:0002761","Generalized joint hypermobility"
"HP:0003782","Eunuchoid habitus"
"HP:0002410","Aqueductal stenosis"
"HP:0000048","Bifid scrotum"
"HP:0000026","Male hypogonadism"
"HP:0007549","Desquamation of skin soon after birth"
"HP:0000013","Hypoplasia of the uterus"
"HP:0001335","Bimanual synkinesia"
"HP:0031354","Sleep onset insomnia"
"HP:0000956","Acanthosis nigricans"
"HP:0002263","Exaggerated cupid's bow"
"HP:0002356","Writer's cramp"
"HP:0002312","Clumsiness"
"HP:0006855","Cerebellar vermis atrophy"
"HP:0031874","Late chronotype"
"HP:0006889","Intellectual disability, borderline"
"HP:4000073","Pronoun reversal"
"HP:0400000","Tall chin"
"HP:0045028","Microlissencephaly"
"HP:0011451","Primary microcephaly"
"HP:0007333","Hypoplasia of the frontal lobes"
"HP:0012579","Minimal change glomerulonephritis"
"HP:0012588","Steroid-resistant nephrotic syndrome"
"HP:0025671","Fetal pericardial effusion"
"HP:0031504","Foamy urine"
"HP:0003073","Hypoalbuminemia"
"HP:0001967","Diffuse mesangial sclerosis"
"HP:0004719","Hyperechogenic kidneys"
"HP:0000108","Renal corticomedullary cysts"
"HP:0032622","Tubular luminal dilatation"
"HP:0000097","Focal segmental glomerulosclerosis"
"HP:0003774","Stage 5 chronic kidney disease"
"HP:0000559","Corneal scarring"
"HP:0011238","Prominent inferior crus of antihelix"
"HP:0030434","Pilomatrixoma"
"HP:0001747","Accessory spleen"
"HP:0000446","Narrow nasal bridge"
"HP:0005322","Prominent nasal septum"
"HP:0005363","Humoral immunodeficiency"
"HP:0011087","Talon cusp"
"HP:0002866","Hypoplastic iliac wing"
"HP:0002869","Flared iliac wing"
"HP:0000273","Facial grimacing"
"HP:0000260","Wide anterior fontanel"
"HP:0034323","Reduced circulating growth hormone concentration"
"HP:0010314","Premature thelarche"
"HP:0005895","Radial deviation of thumb terminal phalanx"
"HP:0034227","Aortic isthmus hypoplasia"
"HP:0005743","Avascular necrosis of the capital femoral epiphysis"
"HP:0004411","Deviated nasal septum"
"HP:0011470","Nasogastric tube feeding in infancy"
"HP:0000756","Agoraphobia"
"HP:0400005","Short ear"
"HP:0004383","Hypoplastic left heart"
"HP:0000695","Natal tooth"
"HP:0011335","Frontal hirsutism"
"HP:0010775","Vascular ring"
"HP:0010803","Everted upper lip vermilion"
"HP:0002341","Cervical cord compression"
"HP:0001042","High axial triradius"
"HP:0007086","Social and occupational deterioration"
"HP:0007099","Chiari type I malformation"
"HP:0009715","Papillary cystadenoma of the epididymis"
"HP:0010562","Keloids"
"HP:0002144","Tethered cord"
"HP:0008107","Plantar crease between first and second toes"
"HP:0003396","Syringomyelia"
"HP:0031207","Hepatic hemangioma"
"HP:0001128","Trichiasis"
"HP:0020206","Simple ear"
"HP:0008752","Laryngeal cartilage malformation"
"HP:0002697","Parietal foramina"
"HP:0006349","Agenesis of permanent teeth"
"HP:0002700","Large foramen magnum"
"HP:0000537","Epicanthus inversus"
"HP:0025161","Frequent temper tantrums"
"HP:0000558","Rieger anomaly"
